lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,Cluster 2,Early,2015,all,5712,186,Up/Mid Yukon,NA,0.03,0.015,0.007,0.028,0.065,1,
Bering Sea,Cluster 2,Early,2015,all,5712,186,Western AK,NA,0.142,0.031,0.085,0.141,0.207,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,E GOA/PNW,NA,0.699,0.036,0.627,0.7,0.768,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,NE Asia,NA,0.148,0.034,0.087,0.147,0.219,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,SE Asia,NA,0.083,0.022,0.044,0.081,0.131,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,SW Alaska,NA,0.005,0.008,0,0.001,0.029,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,Up/Mid Yukon,NA,0.024,0.013,0.003,0.023,0.053,1,
Bering Sea,Cluster 2,Late,2015,all,8701,195,Western AK,NA,0.041,0.021,0.007,0.039,0.09,1,
Bering Sea,Cluster 3,all,2015,all,,387,Western AK,NA,0.161,0.024,0.117,0.161,0.21,1,
Bering Sea,Cluster 3,all,2015,all,,387,E GOA/PNW,NA,0.368,0.027,0.316,0.368,0.422,1,
Bering Sea,Cluster 3,all,2015,all,,387,NE Asia,NA,0.273,0.029,0.218,0.272,0.33,1,
Bering Sea,Cluster 3,all,2015,all,,387,SE Asia,NA,0.144,0.019,0.109,0.144,0.184,1,
Bering Sea,Cluster 3,all,2015,all,,387,SW Alaska,NA,0.008,0.006,0,0.006,0.023,1,
Bering Sea,Cluster 3,all,2015,all,,387,Up/Mid Yukon,NA,0.046,0.014,0.021,0.045,0.076,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,E GOA/PNW,NA,0.221,0.034,0.158,0.22,0.29,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,NE Asia,NA,0.313,0.043,0.231,0.312,0.4,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,SE Asia,NA,0.2,0.03,0.144,0.199,0.263,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,SW Alaska,NA,0.027,0.017,0.002,0.025,0.067,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,Up/Mid Yukon,NA,0.05,0.023,0.014,0.048,0.102,1,
Bering Sea,Cluster 3,Early,2015,all,15723,196,Western AK,NA,0.188,0.039,0.116,0.187,0.269,1,
Bering Sea,Cluster 3,Late,2015,all,24251,191,E GOA/PNW,NA,0.514,0.04,0.435,0.514,0.593,1.01,
Bering Sea,Cluster 3,Late,2015,all,24251,191,NE Asia,NA,0.211,0.039,0.14,0.21,0.292,1.01,
Bering Sea,Cluster 3,Late,2015,all,24251,191,SE Asia,NA,0.09,0.023,0.05,0.088,0.139,1,
Bering Sea,Cluster 3,Late,2015,all,24251,191,SW Alaska,NA,0.002,0.004,0,0,0.012,1,
Bering Sea,Cluster 3,Late,2015,all,24251,191,Up/Mid Yukon,NA,0.037,0.019,0.008,0.034,0.082,1.01,
Bering Sea,Cluster 3,Late,2015,all,24251,191,Western AK,NA,0.146,0.032,0.088,0.145,0.212,1,
Bering Sea,Cluster 4,all,2015,all,,387,Western AK,NA,0.035,0.016,0.008,0.034,0.068,1.01,
Bering Sea,Cluster 4,all,2015,all,,387,E GOA/PNW,NA,0.115,0.019,0.08,0.115,0.155,1,
Bering Sea,Cluster 4,all,2015,all,,387,NE Asia,NA,0.285,0.029,0.231,0.285,0.343,1,
Bering Sea,Cluster 4,all,2015,all,,387,SE Asia,NA,0.517,0.028,0.463,0.517,0.57,1,
Bering Sea,Cluster 4,all,2015,all,,387,SW Alaska,NA,0.007,0.007,0,0.005,0.025,1,
Bering Sea,Cluster 4,all,2015,all,,387,Up/Mid Yukon,NA,0.041,0.015,0.017,0.039,0.075,1.02,
Bering Sea,Cluster 4,Early,2015,all,7374,197,E GOA/PNW,NA,0.06,0.019,0.028,0.058,0.102,1,
Bering Sea,Cluster 4,Early,2015,all,7374,197,NE Asia,NA,0.188,0.035,0.124,0.187,0.259,1,
Bering Sea,Cluster 4,Early,2015,all,7374,197,SE Asia,NA,0.637,0.037,0.564,0.638,0.709,1,
Bering Sea,Cluster 4,Early,2015,all,7374,197,SW Alaska,NA,0.004,0.008,0,0.001,0.027,1,
Bering Sea,Cluster 4,Early,2015,all,7374,197,Up/Mid Yukon,NA,0.059,0.021,0.024,0.057,0.106,1,
Bering Sea,Cluster 4,Early,2015,all,7374,197,Western AK,NA,0.052,0.023,0.012,0.05,0.102,1,
Bering Sea,Cluster 4,Late,2015,all,14343,190,E GOA/PNW,NA,0.177,0.032,0.117,0.176,0.243,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Cluster 4,Late,2015,all,14343,190,NE Asia,NA,0.389,0.045,0.304,0.388,0.479,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Cluster 4,Late,2015,all,14343,190,SE Asia,NA,0.387,0.039,0.313,0.387,0.464,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Cluster 4,Late,2015,all,14343,190,SW Alaska,NA,0.012,0.012,0,0.009,0.044,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Cluster 4,Late,2015,all,14343,190,Up/Mid Yukon,NA,0.018,0.012,0.002,0.016,0.047,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Cluster 4,Late,2015,all,14343,190,Western AK,NA,0.016,0.015,0,0.013,0.053,1,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Eastern,all,2015,all,176886,1407,E GOA/PNW,NA,0.578,0.015,0.549,0.578,0.607,1,
Bering Sea,Eastern,all,2015,all,176886,1407,NE Asia,NA,0.138,0.012,0.115,0.138,0.163,1,
Bering Sea,Eastern,all,2015,all,176886,1407,SE Asia,NA,0.041,0.006,0.03,0.041,0.054,1,
Bering Sea,Eastern,all,2015,all,176886,1407,SW Alaska,NA,0.024,0.006,0.013,0.024,0.036,1,
Bering Sea,Eastern,all,2015,all,176886,1407,Up/Mid Yukon,NA,0.038,0.008,0.024,0.038,0.054,1,
Bering Sea,Eastern,all,2015,all,176886,1407,Western AK,NA,0.181,0.013,0.156,0.181,0.207,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,E GOA/PNW,NA,0.577,0.015,0.548,0.577,0.607,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,NE Asia,NA,0.136,0.013,0.112,0.135,0.161,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,SE Asia,NA,0.043,0.006,0.032,0.043,0.056,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,SW Alaska,NA,0.024,0.006,0.013,0.024,0.036,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,Up/Mid Yukon,NA,0.038,0.008,0.023,0.037,0.054,1,
Bering Sea,NMFS 517,all,2015,all,172641,1362,Western AK,NA,0.183,0.013,0.157,0.183,0.21,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,E GOA/PNW,NA,0.143,0.045,0.066,0.139,0.24,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,NE Asia,NA,0.098,0.044,0.028,0.093,0.197,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,SE Asia,NA,0.266,0.055,0.166,0.264,0.38,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,SW Alaska,NA,0.028,0.023,0.001,0.022,0.087,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,Up/Mid Yukon,NA,0.008,0.014,0,0.001,0.049,1,
Bering Sea,NMFS 517,Early,2015,all,8388,71,Western AK,NA,0.458,0.064,0.335,0.457,0.583,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,E GOA/PNW,NA,0.602,0.022,0.558,0.602,0.644,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,NE Asia,NA,0.123,0.018,0.089,0.123,0.16,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,SE Asia,NA,0.03,0.008,0.016,0.029,0.047,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,SW Alaska,NA,0.024,0.009,0.009,0.023,0.042,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,Up/Mid Yukon,NA,0.053,0.013,0.029,0.053,0.08,1,
Bering Sea,NMFS 517,Late,2015,all,73815,593,Western AK,NA,0.169,0.02,0.131,0.169,0.21,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,E GOA/PNW,NA,0.605,0.021,0.564,0.605,0.646,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,NE Asia,NA,0.137,0.018,0.103,0.136,0.173,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,SE Asia,NA,0.028,0.007,0.015,0.027,0.044,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,SW Alaska,NA,0.022,0.009,0.009,0.021,0.041,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,Up/Mid Yukon,NA,0.032,0.01,0.015,0.031,0.056,1,
Bering Sea,NMFS 517,Middle,2015,all,90438,698,Western AK,NA,0.177,0.018,0.142,0.176,0.212,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,E GOA/PNW,NA,0.293,0.024,0.246,0.292,0.341,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,NE Asia,NA,0.297,0.027,0.245,0.296,0.351,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,SE Asia,NA,0.279,0.023,0.235,0.279,0.326,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,SW Alaska,NA,0.004,0.006,0,0.001,0.021,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,Up/Mid Yukon,NA,0.02,0.009,0.006,0.019,0.041,1,
Bering Sea,NMFS 521,all,2015,all,54442,423,Western AK,NA,0.107,0.019,0.073,0.106,0.146,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,E GOA/PNW,NA,0.12,0.037,0.057,0.117,0.201,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,NE Asia,NA,0.171,0.053,0.077,0.168,0.285,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,SE Asia,NA,0.567,0.059,0.451,0.568,0.68,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,SW Alaska,NA,0.003,0.009,0,0,0.028,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,Up/Mid Yukon,NA,0.049,0.026,0.01,0.045,0.11,1,
Bering Sea,NMFS 521,Early,2015,all,9619,81,Western AK,NA,0.089,0.042,0.02,0.086,0.181,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,E GOA/PNW,NA,0.269,0.048,0.179,0.267,0.368,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,NE Asia,NA,0.378,0.057,0.27,0.377,0.491,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,SE Asia,NA,0.302,0.047,0.212,0.301,0.399,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,SW Alaska,NA,0.012,0.018,0,0.004,0.06,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,Up/Mid Yukon,NA,0.023,0.02,0,0.02,0.071,1,
Bering Sea,NMFS 521,Late,2015,all,14483,107,Western AK,NA,0.016,0.02,0,0.009,0.07,1,
Bering Sea,NMFS 521,Middle,2015,all,30340,235,E GOA/PNW,NA,0.377,0.035,0.309,0.376,0.446,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2015,all,30340,235,NE Asia,NA,0.278,0.037,0.208,0.277,0.352,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2015,all,30340,235,SE Asia,NA,0.165,0.026,0.118,0.165,0.219,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2015,all,30340,235,SW Alaska,NA,0.002,0.005,0,0,0.016,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2015,all,30340,235,Up/Mid Yukon,NA,0.028,0.013,0.007,0.026,0.058,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2015,all,30340,235,Western AK,NA,0.15,0.028,0.099,0.149,0.21,1,"NMFS 521, 523, 524"
Bering Sea,Western,all,2015,all,55153,429,E GOA/PNW,NA,0.288,0.024,0.242,0.288,0.337,1,
Bering Sea,Western,all,2015,all,55153,429,NE Asia,NA,0.298,0.027,0.246,0.297,0.351,1,
Bering Sea,Western,all,2015,all,55153,429,SE Asia,NA,0.279,0.023,0.235,0.279,0.325,1,
Bering Sea,Western,all,2015,all,55153,429,SW Alaska,NA,0.004,0.006,0,0.001,0.02,1,
Bering Sea,Western,all,2015,all,55153,429,Up/Mid Yukon,NA,0.023,0.009,0.008,0.022,0.044,1,
Bering Sea,Western,all,2015,all,55153,429,Western AK,NA,0.109,0.018,0.075,0.108,0.146,1,
Bering Sea,all,A season,2016,all,3726,114,E GOA/PNW,NA,0.372,0.057,0.261,0.372,0.485,1.01,
Bering Sea,all,A season,2016,all,3726,114,NE Asia,NA,0.372,0.061,0.257,0.372,0.496,1,
Bering Sea,all,A season,2016,all,3726,114,SE Asia,NA,0.195,0.039,0.124,0.193,0.277,1,
Bering Sea,all,A season,2016,all,3726,114,SW Alaska,NA,0.025,0.032,0,0.009,0.105,1.02,
Bering Sea,all,A season,2016,all,3726,114,Up/Mid Yukon,NA,0.004,0.008,0,0.001,0.027,1,
Bering Sea,all,A season,2016,all,3726,114,Western AK,NA,0.032,0.026,0,0.027,0.094,1,
GOA,all,all,2016,all,3518,473,E GOA/PNW,NA,0.929,0.015,0.898,0.93,0.955,1,
GOA,all,all,2016,all,3518,473,NE Asia,NA,0.026,0.01,0.009,0.025,0.049,1,
GOA,all,all,2016,all,3518,473,SE Asia,NA,0.01,0.005,0.002,0.01,0.023,1,
GOA,all,all,2016,all,3518,473,SW Alaska,NA,0.016,0.009,0.001,0.015,0.036,1,
GOA,all,all,2016,all,3518,473,Up/Mid Yukon,NA,0.001,0.003,0,0,0.009,1,
GOA,all,all,2016,all,3518,473,Western AK,NA,0.018,0.007,0.006,0.017,0.034,1,
Bering Sea,all,B season,2016,all,339094,2701,E GOA/PNW,NA,0.349,0.01,0.328,0.348,0.369,1,
Bering Sea,all,B season,2016,all,339094,2701,NE Asia,NA,0.305,0.011,0.282,0.304,0.327,1,
Bering Sea,all,B season,2016,all,339094,2701,SE Asia,NA,0.088,0.006,0.077,0.088,0.1,1,
Bering Sea,all,B season,2016,all,339094,2701,SW Alaska,NA,0.013,0.004,0.006,0.012,0.022,1,
Bering Sea,all,B season,2016,all,339094,2701,Up/Mid Yukon,NA,0.053,0.007,0.041,0.053,0.067,1,
Bering Sea,all,B season,2016,all,339094,2701,Western AK,NA,0.193,0.011,0.172,0.193,0.214,1,
Bering Sea,all,Early,2016,all,56835,453,E GOA/PNW,NA,0.211,0.021,0.172,0.211,0.253,1,
Bering Sea,all,Early,2016,all,56835,453,NE Asia,NA,0.237,0.025,0.189,0.236,0.287,1,
Bering Sea,all,Early,2016,all,56835,453,SE Asia,NA,0.28,0.022,0.237,0.279,0.325,1,
Bering Sea,all,Early,2016,all,56835,453,SW Alaska,NA,0.012,0.007,0.002,0.011,0.027,1,
Bering Sea,all,Early,2016,all,56835,453,Up/Mid Yukon,NA,0.077,0.015,0.049,0.076,0.108,1,
Bering Sea,all,Early,2016,all,56835,453,Western AK,NA,0.185,0.023,0.142,0.184,0.23,1,
Bering Sea,all,Late,2016,all,115286,915,E GOA/PNW,NA,0.408,0.019,0.372,0.408,0.445,1.01,
Bering Sea,all,Late,2016,all,115286,915,NE Asia,NA,0.322,0.02,0.283,0.322,0.362,1.01,
Bering Sea,all,Late,2016,all,115286,915,SE Asia,NA,0.041,0.008,0.028,0.041,0.057,1.01,
Bering Sea,all,Late,2016,all,115286,915,SW Alaska,NA,0.021,0.01,0.006,0.02,0.042,1.01,
Bering Sea,all,Late,2016,all,115286,915,Up/Mid Yukon,NA,0.052,0.011,0.033,0.052,0.074,1.01,
Bering Sea,all,Late,2016,all,115286,915,Western AK,NA,0.156,0.017,0.122,0.156,0.191,1,
Bering Sea,all,Middle,2016,all,166973,1333,E GOA/PNW,NA,0.35,0.015,0.322,0.35,0.379,1,
Bering Sea,all,Middle,2016,all,166973,1333,NE Asia,NA,0.305,0.016,0.274,0.305,0.337,1,
Bering Sea,all,Middle,2016,all,166973,1333,SE Asia,NA,0.057,0.007,0.044,0.057,0.072,1,
Bering Sea,all,Middle,2016,all,166973,1333,SW Alaska,NA,0.015,0.006,0.006,0.015,0.027,1,
Bering Sea,all,Middle,2016,all,166973,1333,Up/Mid Yukon,NA,0.046,0.01,0.027,0.045,0.067,1,
Bering Sea,all,Middle,2016,all,166973,1333,Western AK,NA,0.227,0.016,0.197,0.227,0.259,1,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,E GOA/PNW,NA,0.348,0.016,0.316,0.348,0.38,1,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,NE Asia,NA,0.23,0.017,0.198,0.23,0.263,1.01,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,SE Asia,NA,0.092,0.01,0.074,0.091,0.111,1.01,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,SW Alaska,NA,0.02,0.007,0.008,0.019,0.034,1,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,Up/Mid Yukon,NA,0.071,0.013,0.047,0.07,0.097,1,
Bering Sea,Cluster 1,Early,2016,all,111336,1043,Western AK,NA,0.24,0.018,0.205,0.24,0.277,1,
Bering Sea,Cluster 1,Late,2016,all,88941,681,E GOA/PNW,NA,0.355,0.02,0.316,0.355,0.395,1,
Bering Sea,Cluster 1,Late,2016,all,88941,681,NE Asia,NA,0.32,0.023,0.275,0.32,0.367,1,
Bering Sea,Cluster 1,Late,2016,all,88941,681,SE Asia,NA,0.023,0.007,0.012,0.023,0.038,1,
Bering Sea,Cluster 1,Late,2016,all,88941,681,SW Alaska,NA,0.012,0.008,0.002,0.011,0.031,1,
Bering Sea,Cluster 1,Late,2016,all,88941,681,Up/Mid Yukon,NA,0.047,0.014,0.023,0.045,0.076,1.02,
Bering Sea,Cluster 1,Late,2016,all,88941,681,Western AK,NA,0.243,0.023,0.199,0.243,0.288,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,E GOA/PNW,NA,0.232,0.034,0.169,0.231,0.302,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,NE Asia,NA,0.326,0.045,0.24,0.325,0.416,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,SE Asia,NA,0.172,0.03,0.118,0.171,0.232,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,SW Alaska,NA,0.009,0.013,0,0,0.044,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,Up/Mid Yukon,NA,0.088,0.029,0.036,0.087,0.147,1,
Bering Sea,Cluster 2,Early,2016,all,13045,185,Western AK,NA,0.174,0.042,0.098,0.172,0.26,1,
Bering Sea,Cluster 2,Late,2016,all,73346,535,E GOA/PNW,NA,0.387,0.024,0.341,0.387,0.435,1.01,
Bering Sea,Cluster 2,Late,2016,all,73346,535,NE Asia,NA,0.349,0.026,0.298,0.349,0.402,1.01,
Bering Sea,Cluster 2,Late,2016,all,73346,535,SE Asia,NA,0.068,0.012,0.046,0.067,0.093,1,
Bering Sea,Cluster 2,Late,2016,all,73346,535,SW Alaska,NA,0.032,0.012,0.012,0.031,0.059,1.01,
Bering Sea,Cluster 2,Late,2016,all,73346,535,Up/Mid Yukon,NA,0.03,0.01,0.014,0.029,0.053,1.03,
Bering Sea,Cluster 2,Late,2016,all,73346,535,Western AK,NA,0.133,0.02,0.096,0.133,0.174,1,
Bering Sea,Cluster 3,Early,2016,all,29591,320,E GOA/PNW,NA,0.352,0.03,0.295,0.352,0.411,1,
Bering Sea,Cluster 3,Early,2016,all,29591,320,NE Asia,NA,0.286,0.031,0.227,0.286,0.348,1,
Bering Sea,Cluster 3,Early,2016,all,29591,320,SE Asia,NA,0.244,0.026,0.195,0.244,0.297,1,
Bering Sea,Cluster 3,Early,2016,all,29591,320,SW Alaska,NA,0.012,0.008,0,0.01,0.03,1.01,
Bering Sea,Cluster 3,Early,2016,all,29591,320,Up/Mid Yukon,NA,0.035,0.017,0.002,0.034,0.071,1,
Bering Sea,Cluster 3,Early,2016,all,29591,320,Western AK,NA,0.071,0.022,0.033,0.07,0.118,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,E GOA/PNW,NA,0.359,0.04,0.284,0.358,0.438,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,NE Asia,NA,0.34,0.043,0.258,0.339,0.427,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,SE Asia,NA,0.088,0.022,0.049,0.086,0.135,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,SW Alaska,NA,0.029,0.018,0.001,0.027,0.071,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,Up/Mid Yukon,NA,0.075,0.025,0.032,0.073,0.129,1,
Bering Sea,Cluster 3,Late,2016,all,15170,178,Western AK,NA,0.11,0.032,0.053,0.108,0.177,1,
Bering Sea,Cluster 4,Late,2016,all,6931,184,E GOA/PNW,NA,0.35,0.039,0.274,0.349,0.428,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Cluster 4,Late,2016,all,6931,184,NE Asia,NA,0.308,0.045,0.223,0.307,0.399,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Cluster 4,Late,2016,all,6931,184,SE Asia,NA,0.165,0.03,0.109,0.164,0.228,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Cluster 4,Late,2016,all,6931,184,SW Alaska,NA,0.011,0.015,0,0.004,0.053,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Cluster 4,Late,2016,all,6931,184,Up/Mid Yukon,NA,0.034,0.018,0.004,0.032,0.075,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Cluster 4,Late,2016,all,6931,184,Western AK,NA,0.133,0.033,0.073,0.132,0.203,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Eastern,all,2016,all,289278,2332,E GOA/PNW,NA,0.35,0.011,0.328,0.35,0.371,1,
Bering Sea,Eastern,all,2016,all,289278,2332,NE Asia,NA,0.301,0.012,0.277,0.301,0.325,1,
Bering Sea,Eastern,all,2016,all,289278,2332,SE Asia,NA,0.07,0.006,0.059,0.07,0.082,1,
Bering Sea,Eastern,all,2016,all,289278,2332,SW Alaska,NA,0.015,0.005,0.006,0.014,0.026,1.01,
Bering Sea,Eastern,all,2016,all,289278,2332,Up/Mid Yukon,NA,0.055,0.007,0.041,0.055,0.071,1,
Bering Sea,Eastern,all,2016,all,289278,2332,Western AK,NA,0.21,0.012,0.187,0.21,0.233,1,
Bering Sea,NMFS 517,Late,2016,all,105670,840,E GOA/PNW,NA,0.414,0.02,0.375,0.414,0.453,1,
Bering Sea,NMFS 517,Late,2016,all,105670,840,NE Asia,NA,0.313,0.021,0.272,0.313,0.355,1.01,
Bering Sea,NMFS 517,Late,2016,all,105670,840,SE Asia,NA,0.044,0.008,0.03,0.044,0.061,1.01,
Bering Sea,NMFS 517,Late,2016,all,105670,840,SW Alaska,NA,0.018,0.009,0.004,0.016,0.039,1.01,
Bering Sea,NMFS 517,Late,2016,all,105670,840,Up/Mid Yukon,NA,0.051,0.011,0.032,0.051,0.074,1.01,
Bering Sea,NMFS 517,Late,2016,all,105670,840,Western AK,NA,0.161,0.018,0.127,0.16,0.197,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,E GOA/PNW,NA,0.335,0.016,0.303,0.335,0.367,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,NE Asia,NA,0.307,0.018,0.271,0.307,0.344,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,SE Asia,NA,0.042,0.007,0.029,0.042,0.058,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,SW Alaska,NA,0.013,0.007,0.003,0.012,0.029,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,Up/Mid Yukon,NA,0.033,0.011,0.013,0.033,0.055,1,
Bering Sea,NMFS 517,Middle,2016,all,124946,1024,Western AK,NA,0.269,0.018,0.234,0.269,0.306,1,
Bering Sea,NMFS 521,all,2016,all,44785,329,E GOA/PNW,NA,0.294,0.028,0.241,0.293,0.349,1,
Bering Sea,NMFS 521,all,2016,all,44785,329,NE Asia,NA,0.347,0.032,0.286,0.346,0.411,1,
Bering Sea,NMFS 521,all,2016,all,44785,329,SE Asia,NA,0.21,0.024,0.165,0.209,0.259,1,
Bering Sea,NMFS 521,all,2016,all,44785,329,SW Alaska,NA,0.005,0.007,0,0.003,0.023,1.01,
Bering Sea,NMFS 521,all,2016,all,44785,329,Up/Mid Yukon,NA,0.059,0.019,0.023,0.059,0.097,1,
Bering Sea,NMFS 521,all,2016,all,44785,329,Western AK,NA,0.085,0.023,0.045,0.083,0.137,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,E GOA/PNW,NA,0.146,0.038,0.079,0.144,0.229,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,NE Asia,NA,0.303,0.052,0.206,0.302,0.408,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,SE Asia,NA,0.448,0.052,0.35,0.448,0.552,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,SW Alaska,NA,0.003,0.007,0,0,0.024,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,Up/Mid Yukon,NA,0.037,0.029,0,0.035,0.1,1,
Bering Sea,NMFS 521,Early,2016,all,12955,102,Western AK,NA,0.062,0.04,0.008,0.054,0.155,1,
Bering Sea,NMFS 521,Middle,2016,all,31449,225,E GOA/PNW,NA,0.349,0.036,0.281,0.349,0.421,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2016,all,31449,225,NE Asia,NA,0.379,0.039,0.302,0.379,0.457,1.01,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2016,all,31449,225,SE Asia,NA,0.089,0.021,0.052,0.087,0.134,1.05,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2016,all,31449,225,SW Alaska,NA,0.008,0.01,0,0.004,0.033,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2016,all,31449,225,Up/Mid Yukon,NA,0.076,0.022,0.038,0.075,0.123,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2016,all,31449,225,Western AK,NA,0.099,0.027,0.05,0.098,0.157,1,"NMFS 521, 523, 524"
Bering Sea,Western,all,2016,all,49816,369,E GOA/PNW,NA,0.314,0.027,0.262,0.313,0.369,1,
Bering Sea,Western,all,2016,all,49816,369,NE Asia,NA,0.341,0.031,0.281,0.341,0.401,1,
Bering Sea,Western,all,2016,all,49816,369,SE Asia,NA,0.2,0.023,0.157,0.2,0.246,1,
Bering Sea,Western,all,2016,all,49816,369,SW Alaska,NA,0.008,0.008,0,0.006,0.027,1.01,
Bering Sea,Western,all,2016,all,49816,369,Up/Mid Yukon,NA,0.059,0.016,0.029,0.058,0.092,1,
Bering Sea,Western,all,2016,all,49816,369,Western AK,NA,0.079,0.021,0.043,0.077,0.124,1,
GOA,all,all,2017,all,5802,812,E GOA/PNW,NA,0.845,0.016,0.813,0.845,0.874,1,
GOA,all,all,2017,all,5802,812,NE Asia,NA,0.084,0.014,0.058,0.084,0.113,1,
GOA,all,all,2017,all,5802,812,SE Asia,NA,0.011,0.004,0.004,0.01,0.021,1,
GOA,all,all,2017,all,5802,812,SW Alaska,NA,0.029,0.009,0.013,0.029,0.049,1,
GOA,all,all,2017,all,5802,812,Up/Mid Yukon,NA,0.002,0.003,0,0.001,0.01,1,
