lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,NMFS 509,Early,2013,all,,,SE Asia,NA,0.1609,0.0146,0.1332,0.1606,0.1904,1,weeks 30-34
Bering Sea,NMFS 509,Early,2013,all,,,SW Alaska,NA,0.0363,0.0087,0.021,0.0356,0.0551,1,weeks 30-34
Bering Sea,NMFS 509,Early,2013,all,,,Up/Mid Yukon,NA,0.0606,0.0118,0.039,0.0601,0.0853,1,weeks 30-34
Bering Sea,NMFS 509,Middle,2013,all,,,Western AK,NA,0.195,0.025,0.1475,0.1945,0.2458,1,weeks 24-29
Bering Sea,NMFS 509,Middle,2013,all,,,E GOA/PNW,NA,0.1813,0.021,0.1414,0.1808,0.2232,1,weeks 24-29
Bering Sea,NMFS 509,Middle,2013,all,,,NE Asia,NA,0.4486,0.0288,0.3933,0.4486,0.5059,1,weeks 24-29
Bering Sea,NMFS 509,Middle,2013,all,,,SE Asia,NA,0.1047,0.0161,0.0752,0.104,0.1385,1,weeks 24-29
Bering Sea,NMFS 509,Middle,2013,all,,,SW Alaska,NA,0.0323,0.0126,0.0113,0.0311,0.0602,1,weeks 24-29
Bering Sea,NMFS 509,Middle,2013,all,,,Up/Mid Yukon,NA,0.038,0.0138,0.0136,0.0371,0.0675,1,weeks 24-29
Bering Sea,NMFS 517,Early,2013,all,,,Western AK,NA,0.2294,0.0321,0.1688,0.2286,0.2943,1,weeks 35-43
Bering Sea,NMFS 517,Early,2013,all,,,E GOA/PNW,NA,0.1597,0.023,0.1176,0.159,0.2077,1,weeks 35-43
Bering Sea,NMFS 517,Early,2013,all,,,NE Asia,NA,0.2675,0.0325,0.2057,0.2668,0.3332,1,weeks 35-43
Bering Sea,NMFS 517,Early,2013,all,,,SE Asia,NA,0.235,0.0269,0.1838,0.2341,0.2898,1,weeks 35-43
Bering Sea,NMFS 517,Early,2013,all,,,SW Alaska,NA,0.0297,0.0171,0,0.0288,0.0662,1,weeks 35-43
Bering Sea,NMFS 517,Early,2013,all,,,Up/Mid Yukon,NA,0.0787,0.0195,0.044,0.0774,0.1202,1,weeks 35-43
Bering Sea,NMFS 517,Late,2013,all,,,Western AK,NA,0.1517,0.0232,0.1081,0.151,0.1992,1,weeks 30-34
Bering Sea,NMFS 517,Late,2013,all,,,E GOA/PNW,NA,0.0828,0.015,0.0556,0.0822,0.1146,1,weeks 30-34
Bering Sea,NMFS 517,Late,2013,all,,,NE Asia,NA,0.6512,0.027,0.5973,0.6513,0.7039,1,weeks 30-34
Bering Sea,NMFS 517,Late,2013,all,,,SE Asia,NA,0.0764,0.014,0.051,0.0757,0.1061,1,weeks 30-34
Bering Sea,NMFS 517,Late,2013,all,,,SW Alaska,NA,0.014,0.0076,0.0028,0.0127,0.0321,1,weeks 30-34
Bering Sea,NMFS 517,Late,2013,all,,,Up/Mid Yukon,NA,0.0239,0.0145,0.0002,0.0229,0.055,1,weeks 30-34
Bering Sea,NMFS 517,Middle,2013,all,,,Western AK,NA,0.2606,0.0188,0.2239,0.2605,0.2979,1,weeks 24-29
Bering Sea,NMFS 517,Middle,2013,all,,,E GOA/PNW,NA,0.0943,0.0107,0.074,0.0939,0.1159,1,weeks 24-29
Bering Sea,NMFS 517,Middle,2013,all,,,NE Asia,NA,0.5313,0.0202,0.4919,0.5312,0.5706,1,weeks 24-29
Bering Sea,NMFS 517,Middle,2013,all,,,SE Asia,NA,0.0656,0.009,0.0491,0.0653,0.0842,1,weeks 24-29
Bering Sea,NMFS 517,Middle,2013,all,,,SW Alaska,NA,0.0093,0.0046,0.0019,0.0087,0.0198,1,weeks 24-29
Bering Sea,NMFS 517,Middle,2013,all,,,Up/Mid Yukon,NA,0.039,0.0096,0.0219,0.0384,0.0594,1,weeks 24-29
Bering Sea,NMFS 521,Early,2013,all,,,Western AK,NA,0.1327,0.0537,0.033,0.1333,0.2383,1,weeks 35-43
Bering Sea,NMFS 521,Early,2013,all,,,E GOA/PNW,NA,0.0444,0.0235,0.0101,0.0407,0.1001,1,weeks 35-43
Bering Sea,NMFS 521,Early,2013,all,,,NE Asia,NA,0.1819,0.0458,0.1001,0.1794,0.2797,1,weeks 35-43
Bering Sea,NMFS 521,Early,2013,all,,,SE Asia,NA,0.598,0.0541,0.4906,0.5984,0.7029,1,weeks 35-43
Bering Sea,NMFS 521,Early,2013,all,,,SW Alaska,NA,0.0041,0.009,0,0.0003,0.0314,1,weeks 35-43
Bering Sea,NMFS 521,Early,2013,all,,,Up/Mid Yukon,NA,0.039,0.043,0,0.0233,0.1468,1.01,weeks 35-43
Bering Sea,NMFS 521,Late,2013,all,,,Western AK,NA,0.129,0.0202,0.0904,0.1285,0.17,1,weeks 30-34
Bering Sea,NMFS 521,Late,2013,all,,,E GOA/PNW,NA,0.105,0.0145,0.078,0.1045,0.1348,1,weeks 30-34
Bering Sea,NMFS 521,Late,2013,all,,,NE Asia,NA,0.4781,0.0239,0.431,0.478,0.5256,1,weeks 30-34
Bering Sea,NMFS 521,Late,2013,all,,,SE Asia,NA,0.1909,0.0168,0.159,0.1905,0.225,1,weeks 24-29
Bering Sea,NMFS 521,Late,2013,all,,,SW Alaska,NA,0.0009,0.0021,0,0.0001,0.0072,1,weeks 30-34
Bering Sea,NMFS 521,Late,2013,all,,,Up/Mid Yukon,NA,0.096,0.0157,0.0667,0.0954,0.1281,1,weeks 30-34
Bering Sea,NMFS 521,Middle,2013,all,,,Western AK,NA,0.2227,0.0437,0.1408,0.2209,0.3136,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2013,all,,,E GOA/PNW,NA,0.032,0.0178,0.006,0.0291,0.074,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2013,all,,,NE Asia,NA,0.3878,0.0516,0.2882,0.3873,0.4904,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2013,all,,,SE Asia,NA,0.2515,0.039,0.1789,0.2502,0.331,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2013,all,,,SW Alaska,NA,0.0036,0.0078,0,0.0003,0.0273,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Middle,2013,all,,,Up/Mid Yukon,NA,0.1024,0.0276,0.0543,0.1004,0.1627,1,"NMFS 521, 523, 524"
Bering Sea,Western,all,2013,all,,,Western AK,NA,0.1364,0.0165,0.1048,0.1362,0.1697,1,
Bering Sea,Western,all,2013,all,,,E GOA/PNW,NA,0.0842,0.0114,0.0631,0.0838,0.1075,1,
Bering Sea,Western,all,2013,all,,,NE Asia,NA,0.4399,0.0203,0.4002,0.4398,0.4794,1,
Bering Sea,Western,all,2013,all,,,SE Asia,NA,0.2472,0.0158,0.2171,0.247,0.279,1,
Bering Sea,Western,all,2013,all,,,SW Alaska,NA,0.0007,0.0014,0,0,0.005,1,
Bering Sea,Western,all,2013,all,,,Up/Mid Yukon,NA,0.0916,0.0126,0.0686,0.091,0.1183,1,
Bering Sea,all,all,2014,all,1741,,Western AK,NA,0.1768,0.012,0.1537,0.1766,0.2008,1,
Bering Sea,all,all,2014,all,1741,,E GOA/PNW,NA,0.2362,0.0117,0.2137,0.2362,0.2596,1,
Bering Sea,all,all,2014,all,1741,,NE Asia,NA,0.3742,0.0148,0.3452,0.3742,0.4034,1,
Bering Sea,all,all,2014,all,1741,,SE Asia,NA,0.1853,0.0103,0.1655,0.1852,0.2058,1,
Bering Sea,all,all,2014,all,1741,,SW Alaska,NA,0.0066,0.0033,0.001,0.0063,0.0142,1,
Bering Sea,all,all,2014,all,1741,,Up/Mid Yukon,NA,0.0208,0.0058,0.0102,0.0206,0.0328,1,
GOA,all,all,2014,all,252,,Western AK,NA,0.0199,0.0105,0.0035,0.0185,0.044,1,
GOA,all,all,2014,all,252,,E GOA/PNW,NA,0.9163,0.0234,0.8657,0.9178,0.9567,1.01,
GOA,all,all,2014,all,252,,NE Asia,NA,0.0238,0.0163,0,0.0221,0.0606,1,
GOA,all,all,2014,all,252,,SE Asia,NA,0.0278,0.011,0.0104,0.0264,0.0529,1,
GOA,all,all,2014,all,252,,SW Alaska,NA,0.0115,0.0141,0,0.0063,0.0495,1.03,
GOA,all,all,2014,all,252,,Up/Mid Yukon,NA,0.0009,0.0021,0,0.0001,0.007,1,
Bering Sea,all,Early,2014,all,249,,Western AK,NA,0.1876,0.0306,0.13,0.1867,0.2507,1,
Bering Sea,all,Early,2014,all,249,,E GOA/PNW,NA,0.1608,0.0268,0.111,0.1598,0.2149,1,
Bering Sea,all,Early,2014,all,249,,NE Asia,NA,0.3081,0.0366,0.2392,0.3073,0.3813,1,
Bering Sea,all,Early,2014,all,249,,SE Asia,NA,0.2831,0.0305,0.2254,0.2824,0.3441,1,
Bering Sea,all,Early,2014,all,249,,SW Alaska,NA,0.0277,0.0158,0.0019,0.0261,0.0631,1,
Bering Sea,all,Early,2014,all,249,,Up/Mid Yukon,NA,0.0327,0.0143,0.0105,0.0308,0.0659,1,
Bering Sea,all,Late,2014,all,535,,Western AK,NA,0.1318,0.0183,0.0972,0.1314,0.1692,1,
Bering Sea,all,Late,2014,all,535,,E GOA/PNW,NA,0.2544,0.0219,0.2127,0.2538,0.2983,1,
Bering Sea,all,Late,2014,all,535,,NE Asia,NA,0.3711,0.0264,0.3201,0.371,0.4232,1,
Bering Sea,all,Late,2014,all,535,,SE Asia,NA,0.2222,0.0194,0.1854,0.2218,0.2614,1,
Bering Sea,all,Late,2014,all,535,,SW Alaska,NA,0.0019,0.0037,0,0.0002,0.0129,1,
Bering Sea,all,Late,2014,all,535,,Up/Mid Yukon,NA,0.0185,0.0091,0.0049,0.0173,0.0396,1,
Bering Sea,all,Middle,2014,all,957,,Western AK,NA,0.2116,0.0168,0.179,0.2115,0.2454,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,all,Middle,2014,all,957,,E GOA/PNW,NA,0.2383,0.0154,0.209,0.2381,0.269,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,all,Middle,2014,all,957,,NE Asia,NA,0.3897,0.0201,0.3509,0.3895,0.4291,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,all,Middle,2014,all,957,,SE Asia,NA,0.139,0.0127,0.1151,0.1386,0.1648,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,all,Middle,2014,all,957,,SW Alaska,NA,0.0061,0.0045,0,0.0054,0.0165,1,"NMFS 509, 513, 516, 517, 519"
